reference_mass_g,reference_mass_kg,raw_avg_adc,corrected_avg_adc,stick_slip_corrected
0,0.000,2,2,false
100,0.100,3,3,false
200,0.200,6,6,false
300,0.300,7,7,false
400,0.400,34,34,false
500,0.500,40,40,false
600,0.600,53,53,false
700,0.700,67,67,false
800,0.800,101,101,false
900,0.900,119,119,false
1000,1.000,128,128,false
1100,1.100,151,151,false
1200,1.200,173,173,false
1300,1.300,184,184,false
1400,1.400,205,205,false
1500,1.500,223,223,false
1600,1.600,247,247,false
1700,1.700,274,274,false
1800,1.800,298,298,false
1900,1.900,325,325,false
2000,2.000,345,345,false
2100,2.100,399,370,true
2200,2.200,374,395,true
2300,2.300,420,420,false
2400,2.400,439,439,false
2500,2.500,478,478,false
2600,2.600,576,510,true
2700,2.700,521,542,true
2800,2.800,573,573,false
2900,2.900,578,578,false
3000,3.000,744,632,true
3100,3.100,674,686,true
3200,3.200,739,739,false
3300,3.300,805,805,false
3400,3.400,819,819,false
3500,3.500,899,899,false
3600,3.600,945,945,false
3700,3.700,1049,1049,false
3800,3.800,1077,1077,false
3900,3.900,1120,1120,false
4000,4.000,1187,1187,false
