idx,block_grams,block_kg,sample_in_block,S1,S2,ORT
0,0,0.0,0,2583,2671,0
1,0,0.0,1,2576,2671,3
2,0,0.0,2,2585,2670,1
3,0,0.0,3,2577,2669,3
4,0,0.0,4,2577,2670,3
5,0,0.0,5,2576,2671,3
6,0,0.0,6,2581,2670,1
7,0,0.0,7,2588,2672,3
8,0,0.0,8,2581,2668,2
9,0,0.0,9,2580,2662,5
10,0,0.0,10,2580,2666,3
11,0,0.0,11,2578,2671,2
12,0,0.0,12,2575,2670,4
13,0,0.0,13,2579,2672,1
14,0,0.0,14,2582,2670,0
15,0,0.0,15,2578,2669,3
16,0,0.0,16,2580,2668,2
17,0,0.0,17,2578,2671,2
18,0,0.0,18,2576,2667,5
19,0,0.0,19,2580,2670,1
20,0,0.0,20,2571,2667,7
21,0,0.0,21,2578,2672,1
22,0,0.0,22,2584,2667,1
23,0,0.0,23,2580,2669,2
24,0,0.0,24,2576,2669,4
25,0,0.0,25,2578,2672,1
26,0,0.0,26,2579,2670,2
27,0,0.0,27,2581,2671,0
28,0,0.0,28,2571,2672,5
29,0,0.0,29,2577,2674,1
30,0,0.0,30,2577,2670,3
31,0,0.0,31,2580,2669,2
32,0,0.0,32,2581,2671,0
33,0,0.0,33,2577,2671,2
34,0,0.0,34,2579,2670,2
35,0,0.0,35,2578,2674,0
36,0,0.0,36,2576,2675,1
37,0,0.0,37,2575,2669,4
38,0,0.0,38,2579,2670,2
39,0,0.0,39,2577,2671,2
40,0,0.0,40,2586,2668,0
41,0,0.0,41,2579,2687,6
42,0,0.0,42,2581,2668,2
43,0,0.0,43,2580,2672,0
44,0,0.0,44,2579,2670,2
45,0,0.0,45,2578,2673,1
46,0,0.0,46,2580,2665,4
47,0,0.0,47,2578,2667,4
48,0,0.0,48,2574,2669,5
49,0,0.0,49,2578,2665,5
50,0,0.0,50,2579,2667,3
51,0,0.0,51,2578,2672,1
52,0,0.0,52,2578,2674,0
53,0,0.0,53,2580,2670,1
54,0,0.0,54,2588,2671,3
55,0,0.0,55,2578,2670,2
56,0,0.0,56,2579,2670,2
57,0,0.0,57,2578,2671,2
58,0,0.0,58,2583,2676,3
59,0,0.0,59,2577,2672,2
60,0,0.0,60,2582,2671,0
61,0,0.0,61,2588,2671,3
62,0,0.0,62,2580,2680,3
63,0,0.0,63,2577,2672,2
64,0,0.0,64,2577,2669,3
65,0,0.0,65,2581,2666,3
66,0,0.0,66,2579,2671,1
67,0,0.0,67,2577,2671,2
68,0,0.0,68,2577,2672,2
69,0,0.0,69,2579,2670,2
70,0,0.0,70,2579,2670,2
71,0,0.0,71,2579,2674,0
72,0,0.0,72,2574,2670,4
73,0,0.0,73,2589,2671,3
74,0,0.0,74,2580,2670,1
75,0,0.0,75,2576,2680,1
76,0,0.0,76,2580,2677,2
77,0,0.0,77,2578,2673,1
78,100,0.1,0,2576,2669,4
79,100,0.1,1,2585,2672,2
80,100,0.1,2,2576,2668,4
81,100,0.1,3,2580,2673,0
82,100,0.1,4,2578,2676,0
83,100,0.1,5,2581,2663,4
84,100,0.1,6,2576,2659,9
85,100,0.1,7,2573,2670,5
86,100,0.1,8,2574,2672,3
87,100,0.1,9,2568,2666,9
88,100,0.1,10,2577,2670,3
89,100,0.1,11,2576,2668,4
90,100,0.1,12,2575,2669,4
91,100,0.1,13,2574,2668,5
92,100,0.1,14,2577,2668,4
93,100,0.1,15,2573,2673,3
94,100,0.1,16,2580,2670,1
95,100,0.1,17,2576,2667,5
96,100,0.1,18,2579,2667,3
97,100,0.1,19,2575,2669,4
98,100,0.1,20,2574,2670,4
99,100,0.1,21,2576,2671,3
100,100,0.1,22,2577,2668,4
101,100,0.1,23,2578,2671,2
102,100,0.1,24,2577,2671,2
103,100,0.1,25,2577,2668,4
104,100,0.1,26,2576,2670,3
105,100,0.1,27,2577,2673,1
106,100,0.1,28,2575,2670,4
107,100,0.1,29,2578,2672,1
108,100,0.1,30,2581,2674,1
109,100,0.1,31,2562,2672,9
110,100,0.1,32,2576,2671,3
111,100,0.1,33,2581,2673,0
112,100,0.1,34,2578,2673,1
113,100,0.1,35,2576,2673,2
114,100,0.1,36,2577,2670,3
115,100,0.1,37,2577,2671,2
116,100,0.1,38,2576,2668,4
117,100,0.1,39,2574,2670,4
118,100,0.1,40,2573,2669,5
119,100,0.1,41,2577,2671,2
120,100,0.1,42,2577,2671,2
121,100,0.1,43,2576,2670,3
122,100,0.1,44,2574,2676,1
123,100,0.1,45,2573,2673,3
124,100,0.1,46,2576,2665,6
125,100,0.1,47,2576,2666,5
126,100,0.1,48,2576,2670,3
127,100,0.1,49,2571,2674,4
128,100,0.1,50,2576,2673,2
129,100,0.1,51,2573,2672,4
130,100,0.1,52,2578,2672,1
131,100,0.1,53,2575,2671,3
132,100,0.1,54,2574,2669,5
133,100,0.1,55,2576,2664,6
134,100,0.1,56,2578,2671,2
135,100,0.1,57,2579,2670,2
136,100,0.1,58,2587,2667,0
137,100,0.1,59,2580,2668,2
138,100,0.1,60,2579,2674,0
139,100,0.1,61,2577,2673,1
140,100,0.1,62,2580,2670,1
141,100,0.1,63,2569,2668,8
142,100,0.1,64,2582,2672,0
143,200,0.2,0,2578,2668,3
144,200,0.2,1,2570,2668,7
145,200,0.2,2,2577,2670,3
146,200,0.2,3,2578,2679,2
147,200,0.2,4,2579,2661,6
148,200,0.2,5,2581,2671,0
149,200,0.2,6,2579,2660,7
150,200,0.2,7,2577,2670,3
151,200,0.2,8,2578,2670,2
152,200,0.2,9,2577,2666,5
153,200,0.2,10,2579,2670,2
154,200,0.2,11,2579,2669,2
155,200,0.2,12,2581,2666,3
